,이름,영문이름,종류,나라,생산지,제조사,알코올도수,포도품종,가격,평점,주소
269,임페리얼 리오하 그란 레세르바,CUNE IMPERIAL RIOJA GRAN RESERVA,Red,스페인,리오하 알타,쿠네,13.7%,"템프라니요 (Tempranillo) 85%, 그라시아노 (Graciano) 10%, 마주엘로 (Mazuelo) 5%","180,000원",4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=1257
270,아콩카구아 코스타 샤르도네,ACONCAGUA COSTA CHARDONNAY,White,칠레,아콩카구아 코스타,비냐 에라주리즈,13.5%,샤르도네 (Chardonnay) 100%,"52,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=1210
271,비알레또 로쏘,VIALETTO ROSSO,Red,이탈리아,베로나,,,": 까베르네 소비뇽(Carbernet Sauvignon), 메를로(Merlot)",,,https://www.winenara.com/goods/goods_view.php?goodsNo=1093
272,루이 라뚜르 아데슈 샤르도네,LOUIS LATOUR ARDECHE CHARDONNAY,White,프랑스,"론, 아데슈",루이 라뚜르,13%,샤르도네 (Chardonnay) 100%,,3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=1086
273,에리미나 레드,HERRI MINA RED,Red,프랑스,"남서부, 이룰레기","장 끌로드, 올리비에&제프 베루에",13%,까베르네 프랑(Cabernet Franc) 100%,"99,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=1069
274,마르케제 안티노리 키안티 클라시코 리제르바,MARCHESE ANTINORI CHIANTI CLASSICO RISERVA,Red,이탈리아,"토스카나, 키안티 클라시코",안티노리,13.5%,"산지오베제 (Sangiovese) 90%, 까베르네 소비뇽 (Cabernet Sauvignon) 10%","90,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=927
275,프루노토 바르바레스코,PRUNOTTO BARBARESCO,Red,이탈리아,"피에몬테, 바르바레스코","프루노토, 안티노리",13%,네비올로(Nebbiolo) 100%,"75,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=754
276,트림바크 게부르츠트라미너,TRIMBACH GEWURZTRAMINER,White,프랑스,알자스,트림바크,13%,게부르츠트라미너(Gewurztraminer) 100%,"39,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=745
277,카멜로드 카베르네 소비뇽,CARMEL ROAD CALIFORNIA CABERNET SAUVIGNON,Red,미국,"캘리포니아, 몬테레이",잭슨 패밀리 와인,13.9%,카베르네 소비뇽 (Cabernet Sauvignon) 100%,"70,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=2883
278,트림바크 리저브 리슬링,TRIMBACH RESERVE RIESLING,White,프랑스,"프랑스, 알자스",트림바크,13%,리슬링(Riesling) 100%,"50,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=2855
279,알비스,ALBIS,Red,칠레,마이포 밸리,하라스 데 피르케,14.5%,"까베르네 소비뇽(Carbernet Sauvignon) 80%, 까르메네르(Carmenere) 20%","110,000원",4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=2835
280,알파박스 앤 다이스 타로 레드 블렌드,ALPHA BOX AND DICE TAROT RED BLEND,Red,호주,"호주, 남호주, 맥라렌 베일",,,"그르나슈(GRENACHE) 30%, 카베르네 소비뇽(CABERNET SAUVIGNON 25%, 또우리가 나씨오날(TOURIGA NACIONAL 18% 띤따 바호카(TINTA BARROCA 16%, 알리아니코 (AGLIANICO) 10%, 쉬라즈(SHIRAZ) 1%","29,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=2784
281,조단 카베르네 소비뇽,JORDAN CABERNET SAUVIGNON,Red,미국,"미국,캘리포니아,소노마",조단 와이너리(Jordan Vineyard & Winery),13.8%,"카베르네 소비뇽(CABERNET SAUVIGNON) 80%, 메를로(MERLOT) 11%, 쁘띠 베르도(PETIT VERDOT) 7%, 말벡(MALBEC) 2%","150,000원",4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=2777
282,카띠에르 브뤼 로제 프리미에 크뤼,CATTIER BRUT ROSE PREMIER CRU,Champagne,프랑스,상파뉴,CHAMPAGNE CATTIER,12.5%,"피노 므니에(PINOT MEUNIER) 50%, 피노 누아(PINOT NOIR) 40% , 샤르도네(CHARDONNAY) 10%","99,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=2768
283,마틴 레이 소노마 코스트 샤르도네,MARTIN RAY SONOMA COAST CHARDONNAY,White,미국,"미국, 캘리포니아, 소노마",,,샤르도네(CHARDONNAY) 100%,"32,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=2743
284,산 후안 드 피르케 빈야드 카베르네 소비뇽 로트 91,SAN JUAN DE PIRQUE VINEYARD CABERNET SAUVIGNON LOT 91,Red,칠레,마이포밸리,가라지와인(Garage Wine Co.),13.9%,"카베르네 소비뇽(CABERNET SAUVIGNON) 95% , 카베르네 프랑(CABERNET FRANC) 5%","80,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=2676
285,닥터루젠 리슬링 드라이,DR. LOOSEN RIESLING DRY,White,독일,"독일, 모젤",,,리슬링 (RIESLING) 100%,"18,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=2655
286,아미치 나파밸리 카베르네 소비뇽,AMICI NAPA VALLEY CABERNET SAUVIGNON,Red,미국,"미국, 캘리포니아 나파",AMICI CELLARS,14.7%,"카베르네 소비뇽(CABERNET SAUVIGNON) 91% , 메를로(MERLOT) 4%, 쁘띠 베르도(PETIT VERDOT) 3% , 카베르네 프랑(CABERNET FRANC) 2%","150,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=2647
287,마푸 리제르바 카베르네 소비뇽,Mapu Reserva Cabernet Sauvignon,Red,칠레,"칠레, 마울레 밸리",바롱 필립 드 로칠드 마이포 칠레,13.5%,카베르네 소비뇽(CABERNET SAUVIGNON) 100%,"21,000원",3.3,https://www.winenara.com/goods/goods_view.php?goodsNo=2631
288,와일드얼스 피노그리,WILD EARTH PINOT GRIS,White,뉴질랜드,"센트럴 오타고, 뉴질랜드",Wild earth,13%,피노그리(PINOT GRIS),"45,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=2558
289,제나토 크레사소,ZENATO CRESASSO,Red,이탈리아,베네토,제나토,13.5%,코르비나,"129,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=1939
290,카이,KAI,Red,칠레,아콩카구아 밸리,비냐 에라주리즈,14.5%,"카르메네르 95%, 쁘띠 베르도 5%",,4.5,https://www.winenara.com/goods/goods_view.php?goodsNo=1874
291,어니스트 레미 브뤼,ERNEST REMY BRUT,Champagne,프랑스,그랑크뤼 메이 - 샴페인,어니스트 레미,12%,피노 누아 100%,,4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=1862
292,마르쿠스 몰리터 브라우네베르거 만델그라벤,MARKUS MOLITOR BRAUNEBERGER MANDELGRABEN 2 STARS,Red,독일,모젤,마르쿠스 몰리터,13%,피노 누아,,4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=1818
293,도멘 드 마르꾸 샤또네프 뒤 파프 비에이 비뉴,DOMAINE DE MARCOUX CHATEAUNEUF DE PAPE VIELLES VIGNES,Red,프랑스,"꼬뜨 뒤 론, 남부 론, 샤또네프 뒤 파프",도멘 드 마르꾸,15%,그르나슈 100%,,4.4,https://www.winenara.com/goods/goods_view.php?goodsNo=1802
294,더 페데럴리스트 샤르도네,THE FEDERALIST CHARDONNAY,White,미국,"캘리포니아, 멘도치노 카운티",델라토 패밀리 빈야드,13.5%,샤르도네 100%,,3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=1801
295,샤삐옹 시엔드라,CHAPILLON SIENDRA,Red,스페인,"아라곤, 카라타유드",샤삐옹,-,"가르나차 80%, 카베르네 소비뇽 7%, 시라 7%, 메를로 6%","29,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=1720
296,브레머튼 쿨사드 카베르네 소비뇽,BREMERTON COULTHARD CABERNET SAUVIGNON,Red,호주,랑혼,브레머튼 와인즈,-,카베르네 소비뇽 100%,"36,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=1713
297,티렐 루나틱 히스코트 쉬라즈,TYRRELL LUNATIQ HEATHCOTE SHIRAZ,Red,호주,"빅토리아, 히스코트 (Heathcote)",티렐스 와인 (Tyrrell’s Wines),13.5%,쉬라즈 (Shiraz) 100%,"90,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=1584
298,티렐 루퍼스스톤 히스코트 쉬라즈,TYRRELL LUFUS STONE HEATHCOTE SHIRAZ,Red,호주,"빅토리아, 히스코트 (Heathcote)",티렐스 와인 (Tyrrell’s Wines),14.5%,쉬라즈 (Shiraz) 100%,"60,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=1583
299,카포 디 스타토,CAPO DI STATO,Red,이탈리아,베네토(Veneto),베네가쭈(Venegazzu),13%,"카베르네 소비뇽(Cabernet Sauvignon) 65%, 말벡(Malbec) 5%,카베르네 프랑(Cabernet Franc) 20%, 메를로(Merlot) 10%","119,000원",4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=1487
300,보리우 빈야드 (BV) 나파 밸리 카베르네 소비뇽,BV NAPA CABERNET SAUVIGNON,Red,미국,"미국, 캘리포니아, 나파 밸리",보리우 빈야드 (Beaulieu Vineyard),14.6%,까베르네 소비뇽 100%,"110,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=1428
301,칠카스 카베르네 소비뇽,CHILCAS CABERNET SAUVIGNON,Red,칠레,센트럴 밸리,칠카스,13.2%,카베르네 소비뇽 (Cabernet Sauvignon) 100%,,3.2,https://www.winenara.com/goods/goods_view.php?goodsNo=1067
302,맥스 리제르바 피노누아,MAX RESERVA PINOT NOIR,Red,칠레,카사블랑카 밸리,비냐 에라주리즈,13.5%,피노 누아 (Pinot Noir) 100%,"35,000원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=1032
303,"피안 델레 비네, 브루넬로 디 몬탈치노",PIAN DELLE VIGNE BRUNELLO DI MONTALCINO,Red,이탈리아,"토스카나, 몬탈치노",안티노리,14%,산지오베제 100%,"180,000원",4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=951
304,쥬스토 디 노트리,GUISTO DI NOTRI,Red,이탈리아,토스카나,뚜아 리따,14.5%,"까베르네소비뇽60%,메를로30%,까베르네프랑10%","180,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=694
305,에스쿠도 로호 그란 리제르바,ESCUDO ROJO GRAN RESERVA,Red,칠레,마이포 밸리,바롱 필립 드 로칠드 마이포 칠레,14.5%,"카베르네 소비뇽 44%, 카르메네르 39%, 시라 11%, 카베르네 프랑 2%, 쁘띠 베르도 4%","49,000원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=530
306,샤또 루빈 인스파이어 프로방스 루즈,CHATEAU ROUBINE INSPIRE PROVENCE ROUGE,Red,프랑스,프로방스,샤또 루빈(ROUBINE),14%,"카베르네 소비뇽(CABERNET SAUVIGNON) 50%, 시라(SYRAH) 50%","65,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=3177
307,샤또 루빈 라이온 앤 드래곤 프로방스 블랑,CHATEAU ROUBINE LION & DRAGON PROVENCE BLANC,White,프랑스,프로방스,샤또 루빈(ROUBINE),13%,"롤(ROLLE) 50%, 세미용(SEMILLON) 50%","45,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=3176
308,샤또 루빈 라이온 앤 드래곤 프로방스 루즈,CHATEAU ROUBINE LION & DRAGON PROVENCE ROUGE,Red,프랑스,프로방스,샤또 루빈(ROUBINE),12.5%,"카베르네 소비뇽(CABERNET SAUVIGNON) 50%, 시라(SYRAH) 50%","45,000원",4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=3175
309,샤또 루빈 라이온 앤 드래곤 프로방스 로제,CHATEAU ROUBINE LION & DRAGON PROVENCE ROSE,Rose,프랑스,프로방스,샤또 루빈(ROUBINE),12.5%,"그르나슈(GRENACHE) 50%, 티부렌(TIBOUREN) 30%, 롤(ROLLE) 10%, 무르베드르(MOURVEDRE) 10%","45,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=3174
310,샤또 루빈 라 비 앙 로제,CHATEAU ROUBINE LA VIE EN ROSE,Rose,프랑스,프로방스,샤또 루빈(ROUBINE),12.5%,"그르나슈(GRENACHE_ 50%, 생소(CINSAULT) 40%, 시라(SYRAH) 10%","25,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=3173
311,룩 벨레어 하프 보틀 트릴로지,LUC BELAIRE HALF BOTTLE TRILOGY,Sparkling,프랑스,프로방스 꼬뜨 다쥐르,,,-,,,https://www.winenara.com/goods/goods_view.php?goodsNo=3172
312,샤또 드 샤샤뉴 몽라쉐 루즈,CHATEAU DE CHASSAGNE MONTRACHET ROUGE,Red,프랑스,부르고뉴,도멘 바데 뮈뮈르(BADER MIMEUR),12.5%,피노 누아(PINOT NOIR) 100%,"75,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=3171
313,샤또 드 샤샤뉴 엉 주르노블로,CHATEAU DE CHASSAGNE MONTRACHET EN JOURNOBLOT,White,프랑스,부르고뉴,도멘 바데 뮈뮈르(BADER MIMEUR),13%,샤르도네(CHARDONNAY) 100%,"125,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=3170
314,샤또 드 샤샤뉴 몽라쉐 블랑,CHATEAU DE CHASSAGNE MONTRACHET,White,프랑스,부르고뉴,도멘 바데 뮈뮈르(BADER MIMEUR),12%,샤르도네(CHARDONNAY) 100%,"100,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=3169
315,클래이 크릭 빈야드 샤르도네,CLAY CREEK VINEYARD CHARDONNAY,White,미국,캘리포니아,클래이 크릭 빈야드 CLAY CREEK VINEYARD,13.5%,샤르도네(CHARDONNAY) 100%,"19,900원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=3168
316,클래이 크릭 빈야드 피노누아,CLAY CREEK VINEYARD PINOT NOIR,Red,미국,캘리포니아,클래이 크릭 빈야드 CLAY CREEK VINEYARD,13.5%,피노누아 (PINOT NOIR) 100%,"19,900원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=3167
317,클래이 크릭 빈야드 카베르네 소비뇽,CLAY CREEK VINEYARD CABERNET SAUVIGNON,Red,미국,캘리포니아,클래이 크릭 빈야드 CLAY CREEK VINEYARD,13.5%,카베르네 소비뇽 (CABERNET SAUVIGNON) 100%,"19,900원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=3166
318,클래이 크릭 빈야드 레드 블렌드,CLAY CREEK VINEYARD RED BLEND,Red,미국,캘리포니아,클래이 크릭 빈야드 CLAY CREEK VINEYARD,15%,"진판델 (ZINFANDEL), 시라(SYRAH), 메를로(MERLOT)","19,900원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=3165
319,블라블라 카베르네 소비뇽,BLABLA CABERNET SAUVIGNON,Red,프랑스,보르도,,,카베르네 소비뇽(CABERNET SAUVIGNON) 100%,"19,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=3162
320,블라블라 메를로,BLABLA MERLOT,Red,프랑스,보르도,,,메를로(MERLOT) 100%,"19,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=3161
321,마렌고 바롤로 브루나테 리제르바,MARENGO BRUNATE RISERVA DOCG,Red,이탈리아,피에몬테,마리오 마렌고 AZ.AGR. MARENGO,14.5%,네비올로(NEBBIOLO) 100%,"200,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=3157
322,마렌고 바롤로 브루나테,MARENGO BRUNATE DOCG,Red,이탈리아,피에몬테,마리오 마렌고 AZ.AGR. MARENGO,14.5%,네비올로(NEBBIOLO) 100%,"140,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=3156
323,마렌고 바롤로 브리꼬 델레 비올레,MARENGO BRICCO DELLE VIOLE DOCG,Red,이탈리아,피에몬테,마리오 마렌고 AZ.AGR. MARENGO,15%,네비올로(NEBBIOLO) 100%,"120,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=3155
324,마렌고 바롤로,MARENGO BAROLO DOCG,Red,이탈리아,피에몬테,마리오 마렌고 AZ.AGR. MARENGO,14.5%,네비올로(NEBBIOLO) 100%,"95,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=3154
325,발레프레레 알록스 코르통,VALLET FRERES ALOXE CORTON,Red,프랑스,부르고뉴,,,피노 누아(PINOT NOIR) 100%,"129,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=3152
326,리스보카 레드,LISBOCA RED,Red,기타 구대륙,-,,,틴타 로이즈(Tinta Roriz) 100%,"8,900원",,https://www.winenara.com/goods/goods_view.php?goodsNo=3146
327,리스보카 화이트,LISBOCA WHITE,White,기타 구대륙,-,,,Native Varieties,"8,900원",,https://www.winenara.com/goods/goods_view.php?goodsNo=3145
328,마르쿠스 몰리터 젤팅거 존넨우어 아우스레제 (그린),MARKUS MOLITOR ZELTINGER SONNENUHR AUSLESE (GREENCAPSULE),White,독일,모젤,마르쿠스 몰리터 (Markus Molitor),11.5%,리슬링 (Riesling) 100%,"250,000원",4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=3144
329,마르쿠스 몰리터 벨레너 존넨우어 아우스레제 (골드),MARKUS MOLITOR WEHLENER SONNENUHR AUSLESE(GOLDCAPSULE),White,독일,모젤,,,리슬링 (Riesling) 100%,"250,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=3143
330,디오라 피노누아,DIORA PINOT NOIR,Red,미국,"캘리포니아,몬테레이",델리카토 패밀리 DELICATO FAMILY,14.5%,피노 누아(PINOT NOIR) 100%,"42,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=3140
331,디오라 샤르도네,DIORA CHARDONNAY,White,미국,"캘리포니아,몬테레이",델리카토 패밀리 DELICATO FAMILY,14.5%,샤르도네(CHARDONNAY) 100%,"42,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=3139
332,디오라 로제,DIORA ROSE,Rose,미국,"캘리포니아,몬테레이",델리카토 패밀리 DELICATO FAMILY,12%,"피노 누아(PINOT NOIR) 84%, 그르나슈(GRENACHE) 8%, 시라(SYRAH) 4%, 샤르도네(CHARDONNAY) 3%, 말벡(MALBEC) 1%","37,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=3138
333,알바 클라라 소비뇽 블랑,ALBA CLARA SAUVIGNON BLANC,White,칠레,아콩카구아 밸리,안티노리 ANTINORI CHILE SPA.,13.5%,소비뇽 블랑(SAUVIGNON BLANC) 100%,"19,900원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=3136
334,도멘 마르샹 그리요 후쇼트 샹베르땡 그랑 크뤼,DOMAINE MARCHAND GRILLOT RUCHOTTES-CHAMBERTIN GRAND GRU,Red,프랑스,부르고뉴,도멘 마르샹 그리요 DOMAINE MARCHAND GRILLOT,13.5%,피노 누아(PINOT NOIR) 100%,"550,000원",4.4,https://www.winenara.com/goods/goods_view.php?goodsNo=3135
335,도멘 마르샹 그리요 프리미에 크뤼 쁘띠 샤펠,DOMAINE MARCHAND GRILLOT GEVREY CHAMBERTIN 1 ER CRU PETITE CHAPELLE,Red,프랑스,부르고뉴,도멘 마르샹 그리요 DOMAINE MARCHAND GRILLOT,13.5%,피노 누아(PINOT NOIR) 100%,"200,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=3134
336,도멘 마르샹 그리요 프리미에 크뤼 라 페리에,DOMAINE MARCHAND GRILLOT GEVREY CHAMBERTIN 1 ER CRU LA PERRIERE,Red,프랑스,부르고뉴,도멘 마르샹 그리요 DOMAINE MARCHAND GRILLOT,13.5%,피노 누아(PINOT NOIR) 100%,"160,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=3133
337,도멘 마르샹 그리요 제브리 샹베르땡 르 크레오,DOMAINE MARCHAND GRILLOT GEVREY CHAMBERTIN LE CREOT,Red,프랑스,부르고뉴,도멘 마르샹 그리요 DOMAINE MARCHAND GRILLOT,13.5%,피노 누아(PINOT NOIR) 100%,"120,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=3132
338,도멘 마르샹 그리요 제브리 샹베르땡,DOMAINE MARCHAND GRILLOT GEVREY CHAMBERTIN,Red,프랑스,부르고뉴,도멘 마르샹 그리요 DOMAINE MARCHAND GRILLOT,13.5%,피노 누아(PINOT NOIR) 100%,"100,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=3131
339,인비보 X 사라 제시카 파커 로제,INVIVO X SJP ROSE,Rose,프랑스,프로방스,INVIVO X SJP,13%,"생소(CINSAULT) 45%, 그르나슈(0GRENACHE) 45%, 시라(SYRAH) 10%","27,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=3130
340,발레프레레 페르낭 베르즐레,VALLET FRERES PERNAND VERGELESS,White,프랑스,부르고뉴,,,샤르도네(CHARDONNAY) 100%,"129,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=3129
341,발레 프레레 코르통 샤를마뉴,VALLET FRERES CORTON CHARLEMAGNE,White,프랑스,부르고뉴,,,샤르도네(CHARDONNAY) 100%,"490,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=3128
342,발레 프레레 바타르 몽라쉐,VALLET FRERES BATARD MONTRACHET,White,프랑스,부르고뉴,,,샤르도네(CHARDONNAY) 100%,"900,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=3127
343,발레프레레 오뜨 꼬뜨 드 뉘,VALLET FRERES HAUTE COTE DE NUITS,Red,프랑스,부르고뉴,발레 프레레 Vallet Freres,13%,피노 누아(PINOT NOIR) 100%,"79,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=3126
344,발레 프레레 제브리 샹베르땡 클로 드 라 저스티스,VALLET FRERES GEVREY CHAMBERTIN CLOS DE LA JUSTICE,Red,프랑스,부르고뉴,발레 프레레 Vallet Freres,12.5%,피노 누아(PINOT NOIR) 100%,"180,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=3125
345,샤또 기봉 화이트,CHATEAU GUIBON WHITE,White,프랑스,보르도,앙드레 뤼통,12%,"소비뇽 블랑(SAUVIGNON BLANC) 78%, 세미용(SEMILLON) 22%","19,000원",3.5,https://www.winenara.com/goods/goods_view.php?goodsNo=3123
346,바니에 파니에르 그랑 빈티지 2013,VARNIER FANNIERE GRAND VINTAGE 2013,Champagne,프랑스,상파뉴,바니에 파니에르CHAMPAGNE VARNIER FANNIERE,12.5%,샤르도네(CHARDONNAY) 100%,"190,000원",4.4,https://www.winenara.com/goods/goods_view.php?goodsNo=3122
347,바니에 파니에르 장 파니에르 오리진 그랑크뤼,"VARNIER FANNIERE JEAN FANNIERE ORIGINE"" GRAND CRU",Champagne,프랑스,상파뉴,바니에 파니에르CHAMPAGNE VARNIER FANNIERE,12%,샤르도네(CHARDONNAY) 100%,"130,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=3121
348,바니에 파니에르 뀌베 생 데니스 브뤼,VARNIER FANNIERE CUVEE ST-DENIS BRUT,Champagne,프랑스,상파뉴,바니에 파니에르CHAMPAGNE VARNIER FANNIERE,12%,샤르도네(CHARDONNAY) 100%,"120,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=3120
349,바니에 파니에르 에스피릿 드 크라이에 엑스트라 브뤼,VARNIER FANNIERE ESPIRIT DE CRAIER EXTRA BRUT,Champagne,프랑스,상파뉴,바니에 파니에르CHAMPAGNE VARNIER FANNIERE,12%,샤르도네(CHARDONNAY) 100%,"99,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=3119
350,[한정수량] 실뱅카티아르 오뜨 꼬뜨 드 뉘 오 숌 루즈,SVC HAUTES COTES DE NUITS 'AU CHAUMES' ROUGE,Red,프랑스,부르고뉴,실뱅 카티아르 DOMAINE SYLVAIN CATHIARD & FILS,12.5%,피노누아(PINOT NOIR) 100%,"220,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=3109
351,수산나 발보 로제,SUSANA BALBO ROSE,Rose,아르헨티나,-,수산나 발보,13%,"말벡(MALBEC) 60%, 피노누아(PINOT NOIR) 40%","39,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=3107
352,수산나 발보 배럴 퍼멘티드 토론테스,SUSANA BALBO BARREL FERMENTED TORRONTES,White,아르헨티나,-,수산나 발보,13%,토론테스(TORRONTES) 100%,"39,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=3106
353,인사이트 소비뇽블랑,INSIGHT SAUVIGNON BLANC,White,뉴질랜드,말보로,인사이트 와이너리 Insight Winery,13.5%,소비뇽 블랑(SAUVIGNON BLANC) 100%,"40,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=3099
354,베이 오브 파이어 샤르도네,BAY OF FIRES CHARDONNAY,White,호주,"호주, 태즈매니아",,,샤르도네(CHARDONNAY) 100%,"52,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=3097
355,테 와레 라 피노누아,TWR PINOT NOIR,Red,뉴질랜드,-,테 와레 라 와인TE WHARE RA WINES LTD,13%,피노 누아(PINOT NOIR) 100%,"52,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=3095
356,테 와레 라 소비뇽 블랑,TWR SAUVIGNON BLANC,White,뉴질랜드,-,테 와레 라 와인TE WHARE RA WINES LTD,13.2%,소비뇽 블랑(SAUVIGNON BLANC) 100%,"30,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=3094
357,테 와레 라 리슬링,"TWR SINGLE VINEYARD RIESLING ""M""",White,뉴질랜드,-,,,리슬링(RIESLING) 100%,"35,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=3093
358,테 와레 라 드라이 리슬링,TWR SINGLE VINEYARD RIESLING DRY,White,뉴질랜드,-,,,리슬링(RIESLING) 100%,"35,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=3092
359,룩벨레어 로제 기프트 박스,LUC BELAIRE ROSE FANTOME GIFT BOX,Sparkling,프랑스,프로방스 꼬뜨 다쥐르,룩 벨레어,12.5%,"시라(SYRAH) 90%, 그르나슈(GRENACHE) 5% 생소(CINSAUT) 5%",,3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=3090
360,룩벨레어 럭스 기프트 박스,LUC BELAIRE LUXE RARE GIFT BOX,Sparkling,프랑스,-,룩 벨레어(Luc Belaire),-,샤르도네(Chardonnay) 100%,"68,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=3089
361,세르반테스 에스테이트 블랙 테일 레드 블렌드,CERVANTES NAPA VALLEY BLACK TAIL RED BLEND,Red,미국,"캘리포니아, 나파",세르반테스 패밀리 빈야드 Cervantes Family Vineyard,14.8%,"말벡(MALBEC)37%, 카베르네 소비뇽(CABERNET SAUVIGNON) 36%, PETITE SIRAH 23%, 쁘띠 베르도(PETIT VERDOT) 4%","350,000원",4.7,https://www.winenara.com/goods/goods_view.php?goodsNo=3088
362,세르반테스 나파밸리 카베르네 소비뇽,CERVANTES NAPA VALLEY CABERNET SAUVIGNON,Red,미국,"캘리포니아, 나파",세르반테스 패밀리 빈야드 Cervantes Family Vineyard,14.8%,"카베르네 소비뇽(CABERNET SAUVIGNON) 87%, 쁘띠 베르도(PETIT VERDOT) 10%, 말벡(MALBEC) 3%","350,000원",4.6,https://www.winenara.com/goods/goods_view.php?goodsNo=3087
363,룩벨레어 럭스 로제 기프트 박스,LUC BELAIRE 2021 GIFT BOX LUXE ROSE,Sparkling,프랑스,-,룩 벨레어(Luc Belaire),-,-,"62,000원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=3086
