,이름,영문이름,종류,나라,생산지,제조사,알코올도수,포도품종,가격,평점,주소
32,클림트 키스 뀌베 브뤼,KLIMT KISS CUVEE BRUT,Sparkling,기타 구대륙,오스트리아 (Austria),슐럼베르거 (Schlumberger),11.5%,"웰치리슬링(Welschriesling) , 피노블랑( Pinot blanc),샤르도네(Chardonnay)","35,000원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=1511
33,맥스 리제르바 카베르네 소비뇽,MAX RESERVA CABERNET SAUVIGNON,Red,칠레,아콩카구아 밸리,비냐 에라주리즈,14%,"까베르네 소비뇽(Cabernet Sauvignon) 88%, 쁘띠 베르도(Petit Verdot) 7%, 까베르네 프랑(Cabernet Franc) 5%","35,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=755
34,프레지던트 초이스 리저브 카베르네 소비뇽,PRESIDENT'S CHOICE RESERVE CABERNET SAUVIGNON,Red,칠레,아콩카구아 밸리,비냐 에라주리즈,13.5%,카베르네 소비뇽 100%,,3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=1889
35,오이스터 베이 소비뇽 블랑,OYSTER BAY SAUVIGNON BLANC,White,뉴질랜드,말보로,오이스터 베이,13%,소비뇽 블랑 (Sauvignon Blanc) 100%,"35,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=1181
36,루이 라뚜르 상뜨네,LOUIS LATOUR SANTENAY,Red,프랑스,"부르고뉴, 꼬뜨 드 본, 상뜨네",루이 라뚜르,12.5%,피노 누아 (Pinot Noir) 100%,"75,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=489
37,우나니메,UNANIME,Red,아르헨티나,멘도사 (Mendoza),페나플로 (Penaflor),14.5%,"카베르네 소비뇽 (Cabernet Sauvignon) 60%, 말벡 (Malbec) 25%, 카베르네 프랑 (Cabernet Franc) 15%","70,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=1617
38,샤또 기봉 레드,CHATEAU GUIBON RED,Red,프랑스,보르도,앙드레 뤼통,12.5%,"까베르네 소비뇽(Cabernet Sauvignon) 50%, 메를로(Merlot) 50%","19,000원",3.4,https://www.winenara.com/goods/goods_view.php?goodsNo=494
39,라운드 힐 카베르네 소비뇽,Round Hill Cabernet Sauvignon,Red,미국,캘리포니아,러더포드 와인 컴퍼니 (Rutherford Wine Company),13%,카베르네 소비뇽 100%,,3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=2565
40,뀌베 르누아르,CUVEE RENOIR,Champagne,프랑스,"상파뉴 , 꼬뜨 드 바 ( Cote des Bar),오브(Aube)",크리스티앙 세네즈(Christian Senez),12.5%,"샤르도네 ( Chardonnay ) 50% , 피노누아 ( Pinot Noir ) 50%","59,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=1593
41,양가라 쉬라즈,YANGARRA SHIRAZ,Red,호주,"남호주, 맥라렌 베일",잭슨 패밀리 와인,14%,쉬라즈 (Shiraz) 100%,"60,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=1128
42,루이 라뚜르 샤블리,LOUIS LATOUR CHABLIS,White,프랑스,"부르고뉴, 샤블리",루이 라뚜르,13%,샤르도네(Chardonnay) 100%,"62,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=932
43,루이 부요 크레망 드 부르고뉴 브뤼,LOUIS BOUILLOT CREMANT DE BOURGOGNE GRAN RESERVE,Sparkling,프랑스,"프랑스,부르고뉴",루이 부요(Louis Bouillot),12%,"알리고테(ALIGOTE), 샤르도네(CHARDONNAY), 가메(GAMAY), PINOT NOIR","35,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=2782
44,샤또 라 카데리 오센티크 보르도 슈페리어,CHATEUA LA CADERIE AUTHENTIQUE BORDEAUX SUPERIEUR,Red,프랑스,"프랑스, 보르도, 보르도 슈페리어",Chateau La Caderie,-,"메를로(MERLOT) 38%, 카베르네 프랑(CABERNET FRANC) 29%, 카베르네 소비뇽(CABERNET SAUVIGNON) 20%, 쁘띠 베르도(PETIT VERDOT) 13%","27,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=2613
45,포 버튜스 버번 배럴 에이지드 카베르네 소비뇽,4 VIRTUES BOURBON BARREL AGED CABERNET SAUVIGNON,Red,미국,"캘리포니아, 로다이 (California, Lodi)",러더포드 와인 컴퍼니,13.9도,"카베르네 소비뇽83%, 말벡 14%, 진판델 3%","60,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=2584
46,빌라 안나베르타 아마로네,VILLA ANNABERTA AMARONE,Red,이탈리아,베네토 (Veneto),빌라 안나베르타 (Villa Annaberta),14%,"코르비나, 론디넬라, 몰리나라","59,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=1600
47,빌라 엠 로쏘,VILLA M ROSSO,Sweet,이탈리아,피에몬테,지아니 갈리아르도,5%,브라케토 (Brachetto) 100%,"32,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=508
48,베네가쭈 델라 카사,VENEGAZZU DELLA CASA,Red,이탈리아,베네토,베네가쭈,13%,"카베르네 소비뇽(CABERNET SAUVIGNON) 60%, 메를로(MERLOT) 25%, 카베르네 프랑(CABERNET FRANC) 10%, 말벡(MALBEC) 5%","35,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=2876
49,셀리에 데 프린스 꼬뜨 뒤 론 비에이비뉴,CELLIER DES PRINCES COTES DU RHONE VIELLES VIGNES,Red,프랑스,"남부론, 꼬뜨 뒤 론",셀리에 데 프린스,14%,"GSM (그르나슈 80%, 시라 15%, 무르베드르 5%)",,3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=1850
50,닥터 린드만 빈45 카베르네 소비뇽,LINDEMAN'S BIN 45 CABERNET SAUVIGNON,Red,호주,뉴 사우스 웨일즈 & 빅토리아,린드만 (Lindeman’s),13.5%,까베르네 소비뇽 (Cabernet Sauvignon),"20,000원",3.4,https://www.winenara.com/goods/goods_view.php?goodsNo=1380
51,하트포드 코트 러시안 리버 밸리 피노누아,HARTFORD COURT RUSSIAN RIVER VALLEY PINOT NOIR,Red,미국,"소노마, 러시안 리버 밸리",잭슨 패밀리 와인,14.5%,피노 누아 (Pinot Noir) 100%,"99,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=964
52,베이 오브 파이어 리슬링,BAY OF FIRES RIESLING,White,호주,"호주, 태즈매니아",,,리슬링(RIESLING) 100%,"42,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=2601
53,본테라 에퀴녹스 레드,BONTERRA EQUINOX RED,Red,미국,"캘리포니아, 홉랜드, 멘도치노 카운티",본테라 / 콘차 이 토로,14.5%,"쁘띠 쉬라 33%, 메를로 29%, 쉬라 16%, 진판델 14%, 카베르네 소비뇽 3%, 그외 5%",,3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=1836
54,알파카 소비뇽 블랑,ALPACA SAUVIGNON BLANC,White,칠레,센트럴 밸리,,,소비뇽 블랑(Sauvignon Blanc) 100%,"15,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=1644
